count,date,title,description,org_link,link
551,2024-01-27 11:11:00,YG 베이비몬스터 컴백 예열…아사·치키타 비주얼 최초공개,"YG엔터테인먼트(이하 YG)의 <b>신인 그룹</b> 베이비몬스터가 컴백을 앞두고 멤버들의 개인 비주얼을 최초 공개했다. 27일 YG는 공식 블로그에 베이비몬스터 아사, 치키타의 ‘스턱 인 더 미들’(Stuck In The Middle) 캐릭터... ",https://isplus.com/article/view/isp202401270020,https://n.news.naver.com/mnews/article/241/0003326808?sid=106
552,2024-01-27 10:00:00,"유통업계, 설맞이 프로모션 '봇물'","더현대서울은 <b>신인</b> 아이돌 <b>그룹</b> 투어스(TWS)의 팝업매장을, 판교점은 라이프스타일 브랜드 '위글위글' 팝업매장을 각각 연다. 이마트·롯데마트·홈플러스 등 대형마트 3사는 다음 달 10일까지 설 선물세트 본판매를... ",https://www.pinpointnews.co.kr/news/articleView.html?idxno=241392,https://www.pinpointnews.co.kr/news/articleView.html?idxno=241392
553,2024-01-27 08:01:00,아이유가 '러브 윈즈 올'을 내고 하루동안 생긴 일,"한편 이번 주 케이팝레이더에서 발표된 주간 팬덤 차트 톱10에는 하이브 산하 레이블 플레디스의 <b>신인</b> 보이<b>그룹</b> 투어스(TWS)의 '첫 만남은 계획대로 되지 않아'가 2위, 걸<b>그룹</b> (여자)아이들 '와이프'가 3위, 에이티즈... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=655546,https://n.news.naver.com/mnews/article/477/0000470712?sid=106
554,2024-01-27 07:00:00,"[주말N쇼핑] 설 명절 2주 앞으로…유통업계, 선물세트 판촉대전","더현대서울은 <b>신인</b> 아이돌 <b>그룹</b> 투어스(TWS)의 팝업매장을, 판교점은 라이프스타일 브랜드 '위글위글' 팝업매장을 각각 연다. ▲ 이마트·롯데마트·홈플러스 = 다음 달 10일까지 설 선물세트 본판매를 진행하고 합리적인... ",https://www.yna.co.kr/view/AKR20240124168800030?input=1195m,https://n.news.naver.com/mnews/article/001/0014471139?sid=101
555,2024-01-26 17:08:00,"아이유, ‘케이팝레이더’ 1위..뷔 출연 뮤비 하루만에 1천만↑","이번 주 케이팝레이더에서 발표된 위클리 팬덤 차트의 TOP 10에는 하이브 산하 레이블 플레디스의 <b>신인</b> 보이<b>그룹</b> 투어스(TWS)의 ‘첫 만남은 계획대로 되지 않아 (plot twist)’가 2위, 걸<b>그룹</b> (여자)아이들((G)I-DLE)의... ",https://www.mk.co.kr/article/10930274,https://n.news.naver.com/mnews/article/009/0005250593?sid=106
556,2024-01-26 16:44:00,"아이유, '케이팝레이더' 1위! 뷔 출연한 '러브 윈즈 올' 뮤비 하루만에 1천만...","이번 주 케이팝레이더에서 발표된 위클리 팬덤 차트의 TOP 10에는 하이브 산하 레이블 플레디스의 <b>신인</b> 보이<b>그룹</b> 투어스(TWS)의 '첫 만남은 계획대로 되지 않아 (plot twist)'가 2위, 걸<b>그룹</b> (여자)아이들((G)I-DLE)의... ",http://www.newsinside.kr/news/articleView.html?idxno=1486214,http://www.newsinside.kr/news/articleView.html?idxno=1486214
557,2024-01-26 15:54:00,"아이유, '뷔'랑 찍은 영상으로 '케이팝레이더' 1위...&quot;K팝 여왕의 귀환&quot;","사진=스페이스 오디티 이번 주 케이팝레이더에서 발표된 위클리 팬덤 차트의 TOP 10에는 하이브 산하 레이블 플레디스의 <b>신인</b> 보이<b>그룹</b> 투어스(TWS)의 '첫 만남은 계획대로 되지 않아 (plot twist)'가 2위, 걸<b>그룹</b>... ",https://www.newsculture.press/news/articleView.html?idxno=541872,https://www.newsculture.press/news/articleView.html?idxno=541872
558,2024-01-26 14:36:00,"아이유, '케이팝레이더' 1위…뷔 출연한 '러브 윈즈 올' MV 하루 만에 1천만뷰","이번 주 케이팝레이더에서 발표된 위클리 팬덤 차트의 TOP 10에는 하이브 산하 레이블 플레디스의 <b>신인</b> 보이<b>그룹</b> 투어스(TWS)의 '첫 만남은 계획대로 되지 않아 (plot twist)'가 2위, 걸<b>그룹</b> (여자)아이들((G)I-DLE)의... ",https://www.raonnews.com/news/article.html?no=32261,https://www.raonnews.com/news/article.html?no=32261
559,2024-01-26 13:48:00,"아이유, 뷔 출연한 ‘러브 윈즈 올’ MV 1천만 뷰","이번 주 케이팝레이더에서 발표된 위클리 팬덤 차트의 TOP10에는 하이브 산하 레이블 플레디스의 <b>신인</b> 보이<b>그룹</b> 투어스(TWS)의 ‘첫 만남은 계획대로 되지 않아(plot twist)’가 2위, <b>그룹</b> (여자)아이들((G)I-DLE)의... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202401261347003&sec_id=540101&pt=nv,https://n.news.naver.com/mnews/article/144/0000940168?sid=106
560,2024-01-26 12:14:00,"1위 라이즈·2위 뉴진스·3위 골든걸스, 2024년 1월 4주차 <b>신인</b> 아이돌 <b>그룹</b> ...",라이즈가 2024년 1월 4주차 공개된 랭키파이의 <b>신인</b> 아이돌 <b>그룹</b> 트렌드지수 분석 결과 1위에 올랐다. 랭키파이 (2024년 1월 3주차) <b>신인</b> 아이돌 <b>그룹</b> 트렌드지수를 분석한 지표이다. 1위 라이즈는 트렌드지수 48... ,http://www.stardailynews.co.kr/news/articleView.html?idxno=433855,http://www.stardailynews.co.kr/news/articleView.html?idxno=433855
561,2024-01-26 11:10:00,"'6인' 베이비 몬스터, 2월 신곡 콘셉트 공개..아현 합류는 아직 [스타이슈]",<b>신인</b> 걸 <b>그룹</b> 베이비몬스터가 신곡 'Stuck In The Middle'의 콘셉트를 엿볼 수 있는 이미지를 공개했다. 소속사 YG엔터테인먼트는 26일 공식 블로그에 BABYMONSTER - TITLE 'Stuck In The Middle'을 게재했다. 한 편의 판타지 동화를... ,https://www.starnewskorea.com/stview.php?no=2024012610540674243,https://n.news.naver.com/mnews/article/108/0003211391?sid=106
562,2024-01-26 11:02:00,"'JYP 新 걸<b>그룹</b>' VCHA, 금일 정식데뷔…'Girls of the Year' 활동시작","26일 JYP엔터테인먼트 측은 <b>신인그룹</b> VCHA가 금일 오후 2시 첫 싱글 'Girls of the Year'(걸즈 오브 더 이어)를 발표, 활동을 시작한다고 전했다. VCHA(렉시, 카밀라, 켄달, 사바나, 케이지, 케일리)는 JYP와 유니버설... ",https://www.etnews.com/20240126000085,https://n.news.naver.com/mnews/article/030/0003176489?sid=106
563,2024-01-26 10:10:00,"JYP 글로벌 <b>그룹</b> 비춰, 데뷔 싱글 '걸스 오브 더 이어' 발표","JYP 글로벌 <b>그룹</b> 비춰, 데뷔 싱글 '걸스 오브 더 이어' 발표 <b>신인</b> 글로벌 <b>그룹</b> 비춰(VCHA)가 정식 데뷔 싱글을 선보인다. JYP엔터테인먼트는 비춰가 26일 오후 2시 첫 싱글 ‘걸스 오브 더 이어’(Girls of the Year)를... ",https://www.viva100.com/main/view.php?key=20240126010008536,https://www.viva100.com/main/view.php?key=20240126010008536
564,2024-01-26 10:02:00,"‘JYP <b>신인</b>’ VCHA, 오늘(26일) 데뷔 싱글 ‘Girls of the Year’ 발매",기대되는 22개 앨범'에 선정되며 뜨거운 글로벌 주목도를 입증했다. JYP <b>신인</b> 걸<b>그룹</b> VCHA가 정식 데뷔 싱글 'Girls of the Year'와 함께 차세대 글로벌 슈퍼스타로서 본격적 시작을 알리고 활약에 박차를 가한다.,https://www.newsen.com/news_view.php?uid=202401260958370410,https://n.news.naver.com/mnews/article/609/0000817116?sid=106
565,2024-01-26 09:52:00,아이유 신곡 멜론 1위 직행…차트 개편 후 여가수 최초,<b>신인 그룹</b> 라이즈(RIIZE)가 5일 오후 6시 새 싱글 '러브 원원나인'(Love 119)을 선보인다고 소속사 SM엔터테인먼트가 밝혔다. 신곡은 밴드 이지(izi)의 히트곡 '응급실'을 샘플링해 첫사랑의 감정을 라이즈 스타일로 표현한... ,https://www.electimes.com/news/articleView.html?idxno=331996,https://www.electimes.com/news/articleView.html?idxno=331996
566,2024-01-26 09:48:00,"영탁 인성 밝혀졌다…&quot;회사 없는 후배, 곡비 안 받아&quot; ('주간트로트')","지난 25일 오후 공개된 유튜브 채널 '주간 트로트-한 눈에 보는 트로트 연예뉴스'에서는 새로운 트로트 <b>신인 그룹</b> 에닉스(ANEX)의 론칭 소식부터 영탁, 임영웅 등 내로라하는 가수들의 새로운 소식 등을 다뤘다. 사진= '주간... ",https://www.newsculture.press/news/articleView.html?idxno=541820,https://www.newsculture.press/news/articleView.html?idxno=541820
567,2024-01-26 09:38:00,‘주간트로트’ 김동찬 “임영웅 신보가 트로트 아닌 진짜 이유는…”,"25일 오후 공개된 유튜브 채널 ‘주간 트로트-한눈에 보는 트로트 연예뉴스’에서는 새로운 트로트 <b>신인 그룹</b> 에닉스(ANEX)의 론칭 소식부터 영탁, 임영웅 등 내로라하는 트로트 가수들의 새로운 소식 등을 다뤘다. 먼저 MC... ",https://www.dailian.co.kr/news/view/1321703/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002793482?sid=106
568,2024-01-26 09:36:00,"영탁, 후배 사랑도 딱이야…김동찬 &quot;후배들 곡비도 안 받아&quot;","25일 오후 공개된 유튜브 채널 '주간 트로트-한 눈에 보는 트로트 연예뉴스'에서는 새로운 트로트 <b>신인 그룹</b> 에닉스(ANEX)의 론칭 소식부터 영탁, 임영웅 등 내로라하는 트로트 가수들의 새로운 소식 등을 다뤘다. 먼저 MC... ",https://www.slist.kr/news/articleView.html?idxno=521032,https://www.slist.kr/news/articleView.html?idxno=521032
569,2024-01-26 09:16:00,"정영주·김소현·알리 등, ‘불후의 명곡’에서 골든걸스를 위한 무대 펼친다","골든걸스는 지난해 데뷔한 따끈따끈한 <b>신인 그룹</b>이지만 도합 159년 경력의 인순이, 박미경, 신효범, 이은미 등이 소속됐다. 이런 골든걸스의 출연소식에 라인업도 역대급이다. 정영주·김영주·이영미·최현주, 손준호... ",https://www.sportsseoul.com/news/read/1394031?ref=naver,https://n.news.naver.com/mnews/article/468/0001025398?sid=106
